number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
48,0.9524517596610211,2026-04-27 01:55:19.224368,2026-04-27 02:06:20.520019,0 days 00:11:01.295651,12,AND,HIGH_BREAK,0.20756563871065084,6,0.6978765802564939,0.1978544127856547,61.96117092151489,off,on,on,off,off,off,2.105026646860222,4.082906428191174,0.0909331642401424,0.04327385260788197,0.2705246140759772,0.2403317178757787,0.17841436286444726,0.16854204689497876,0.2472282430416083,0.17994399324535215,COMPLETE
49,1.4709416726511622,2026-04-27 01:55:35.890288,2026-04-27 02:06:28.559859,0 days 00:10:52.669571,12,AND,VOL_GOLD,0.2930106148937892,6,0.9178209518826609,0.1349517545814829,68.00892359887465,off,on,on,off,off,off,2.0583531466816214,4.096570010007204,0.09762539939037564,0.0400817492601178,0.27343522751635935,0.24091766165430115,0.17591202547370677,0.19310495922951607,0.2411457920430243,0.3400830414637083,COMPLETE
50,1.0319379454446862,2026-04-27 01:56:02.161134,2026-04-27 02:07:12.404377,0 days 00:11:10.243243,11,AND,VOL_GOLD,0.2918031005022288,6,0.8559288062936101,0.20020845179670024,68.03811617288302,off,on,on,off,off,off,2.0867084835463694,4.063866997925475,0.10329342743166246,0.02064816749096369,0.2628035349776949,0.24801867607758032,0.18028429796160605,0.12515117087433913,0.23294519025714286,0.3299013485644525,COMPLETE
51,1.856014681863708,2026-04-27 01:57:19.069606,2026-04-27 02:08:34.260876,0 days 00:11:15.191270,12,AND,VOL_GOLD,0.2909990778169304,6,0.8568526405102073,0.1422885391057796,67.67426341308202,off,on,on,off,off,off,2.054666260748068,4.923935652452847,0.10435530132365689,0.020509984369381364,0.17838378192923612,0.24700912906612826,0.2790682344597143,0.19088055397417222,0.24862893359904617,0.026194930072117005,COMPLETE
52,2.1162452492437307,2026-04-27 02:06:20.521023,2026-04-27 02:17:23.687766,0 days 00:11:03.166743,8,AND,VOL_GOLD,0.28908679555208,4,0.8547628283586246,0.10278627217170139,68.2747743575983,off,on,on,off,off,off,1.9152120147179714,4.8617644443206816,0.1028910554347276,0.06519232556518058,0.17296419744434388,0.3022564087818294,0.27556724421693457,0.12415264315033281,0.2251524686164635,0.34136428872945707,COMPLETE
53,-1.1233995913043715,2026-04-27 02:06:28.562859,2026-04-27 02:17:33.193698,0 days 00:11:04.630839,11,AND,VOL_GOLD,0.29271939277525033,6,0.48861526435605096,0.11526482253127035,67.6670429446089,off,on,on,off,off,on,1.034299312605634,4.904634110858364,0.07511798097168486,0.02136047430321134,0.33584829123190457,0.2749743776430387,0.06400190222541652,0.2066612360754173,0.2222478918649317,0.33493680761617056,COMPLETE
54,2.2140262202039867,2026-04-27 02:07:12.413700,2026-04-27 02:18:21.525773,0 days 00:11:09.112073,13,AND,VOL_GOLD,0.27325779575280823,4,0.9530751176424265,0.13597732333257767,65.54272532551428,off,on,on,off,off,off,2.55735441228264,4.9713667654885905,0.07450071578986545,0.033469141049859236,0.3626123465526835,0.27492471637095184,0.23013203561603937,0.20525378487084245,0.2211821401986513,0.3906628234712303,COMPLETE
55,1.4126589781928967,2026-04-27 02:08:34.263650,2026-04-27 02:19:48.926494,0 days 00:11:14.662844,9,AND,VOL_GOLD,0.26491725487695256,4,0.9083424688145721,0.10318993571298687,67.7651643599109,off,on,on,off,off,off,1.9237523111049537,4.927033201626464,0.10842804513907234,0.032446642465304126,0.33004942869083953,0.28843841349912874,0.2286863544681066,0.19498738382415046,0.16873025204849104,0.03825048520161955,COMPLETE
56,1.2902080009673798,2026-04-27 02:17:23.689694,2026-04-27 02:28:42.467371,0 days 00:11:18.777677,8,AND,VOL_GOLD,0.26300730764507135,4,0.8158280300297889,0.10182896442247025,69.9973033968072,off,on,on,off,off,off,1.9086936327207764,4.93153821342322,0.10653406258306325,0.025637659394984254,0.345373473621172,0.30953473951934724,0.281487165502286,0.1986968294108189,0.1701675312333592,0.3996202725146168,COMPLETE
57,0.0,2026-04-27 02:17:33.194696,2026-04-27 02:28:50.738048,0 days 00:11:17.543352,7,AND,VOL_GOLD,0.26167516255207185,3,0.8184470431629135,0.09564733741105169,72.8882979741397,off,on,off,off,off,off,1.926963032194899,4.977502885927416,0.10937996485717402,0.026538032421218063,0.22750333064658892,0.3097873296222452,0.27752877377140417,0.18704175676682283,0.21370949964038452,0.03167151999593163,COMPLETE
